  BasePosX	  BasePosY	  BasePosZ	  BaseOriX	  BaseOriY	  BaseOriZ	JointPos1X	JointPos1Y	JointPos1Z	JointPos2X	JointPos2Y	JointPos2Z	JointPos3X	JointPos3Y	JointPos3Z	JointPos4X	JointPos4Y	JointPos4Z	JointPos5X	JointPos5Y	JointPos5Z	JointPos6X	JointPos6Y	JointPos6Z	JointPos7X	JointPos7Y	JointPos7Z	JointPos8X	JointPos8Y	JointPos8Z	
 -0.000000	  0.000602	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.110602	  0.000000	  0.043300	  0.257810	  0.000000	  0.179043	  0.377538	  0.000000	  0.192492	  0.425696	  0.000000	  0.160000	  0.110602	  0.000000	 -0.043300	  0.257810	  0.000000	 -0.179043	  0.377538	  0.000000	 -0.192492	  0.425696	  0.000000	
 -0.000000	 -0.006019	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.103981	  0.000000	  0.034428	  0.262722	  0.000000	  0.164599	  0.388486	  0.000000	  0.159817	  0.438257	  0.000000	  0.160000	  0.103981	  0.000000	 -0.034428	  0.262722	  0.000000	 -0.164599	  0.388486	  0.000000	 -0.159817	  0.438257	  0.000000	
 -0.000000	 -0.012163	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.097837	  0.000000	  0.024923	  0.267556	  0.000000	  0.149277	  0.399074	  0.000000	  0.130884	  0.445568	  0.000000	  0.160000	  0.097837	  0.000000	 -0.024923	  0.267556	  0.000000	 -0.149277	  0.399074	  0.000000	 -0.130884	  0.445568	  0.000000	
 -0.000000	 -0.017805	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.092195	  0.000000	  0.014840	  0.272284	  0.000000	  0.132991	  0.409402	  0.000000	  0.106847	  0.452022	  0.000000	  0.160000	  0.092195	  0.000000	 -0.014840	  0.272284	  0.000000	 -0.132991	  0.409402	  0.000000	 -0.106847	  0.452022	  0.000000	
 -0.000000	 -0.022914	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.087086	  0.000000	  0.004225	  0.276905	  0.000000	  0.115171	  0.419916	  0.000000	  0.085956	  0.460492	  0.000000	  0.160000	  0.087086	  0.000000	 -0.004225	  0.276905	  0.000000	 -0.115171	  0.419916	  0.000000	 -0.085956	  0.460492	  0.000000	
 -0.000000	 -0.027506	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.082494	  0.000000	 -0.006898	  0.281392	  0.000000	  0.095045	  0.430954	  0.000000	  0.064680	  0.470678	  0.000000	  0.160000	  0.082494	  0.000000	  0.006898	  0.281392	  0.000000	 -0.095045	  0.430954	  0.000000	 -0.064680	  0.470678	  0.000000	
 -0.000000	 -0.031660	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.078340	  0.000000	 -0.018525	  0.285670	  0.000000	  0.072539	  0.442094	  0.000000	  0.039944	  0.480009	  0.000000	  0.160000	  0.078340	  0.000000	  0.018525	  0.285670	  0.000000	 -0.072539	  0.442094	  0.000000	 -0.039944	  0.480009	  0.000000	
 -0.000000	 -0.035448	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.074552	  0.000000	 -0.030646	  0.289653	  0.000000	  0.048301	  0.452528	  0.000000	  0.011245	  0.486097	  0.000000	  0.160000	  0.074552	  0.000000	  0.030646	  0.289653	  0.000000	 -0.048301	  0.452528	  0.000000	 -0.011245	  0.486097	  0.000000	
 -0.000000	 -0.038906	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.071094	  0.000000	 -0.043241	  0.293284	  0.000000	  0.023095	  0.461690	  0.000000	 -0.019774	  0.487424	  0.000000	  0.160000	  0.071094	  0.000000	  0.043241	  0.293284	  0.000000	 -0.023095	  0.461690	  0.000000	  0.019774	  0.487424	  0.000000	
 -0.000000	 -0.042026	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.067974	  0.000000	 -0.056289	  0.296546	  0.000000	 -0.002395	  0.469336	  0.000000	 -0.050310	  0.483624	  0.000000	  0.160000	  0.067974	  0.000000	  0.056289	  0.296546	  0.000000	  0.002395	  0.469336	  0.000000	  0.050310	  0.483624	  0.000000	
 -0.000000	 -0.044760	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.065240	  0.000000	 -0.069774	  0.299462	  0.000000	 -0.027620	  0.475485	  0.000000	 -0.077617	  0.476009	  0.000000	  0.160000	  0.065240	  0.000000	  0.069774	  0.299462	  0.000000	  0.027620	  0.475485	  0.000000	  0.077617	  0.476009	  0.000000	
 -0.000000	 -0.047031	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.062969	  0.000000	 -0.083692	  0.302089	  0.000000	 -0.052209	  0.480330	  0.000000	 -0.100488	  0.467326	  0.000000	  0.160000	  0.062969	  0.000000	  0.083692	  0.302089	  0.000000	  0.052209	  0.480330	  0.000000	  0.100488	  0.467326	  0.000000	
 -0.000000	 -0.048741	  0.000000	 -0.000000	  0.000000	 -0.000000	 -0.160000	  0.061259	  0.000000	 -0.098052	  0.304495	  0.000000	 -0.076078	  0.484156	  0.000000	 -0.120144	  0.460530	  0.000000	  0.160000	  0.061259	  0.000000	  0.098052	  0.304495	  0.000000	  0.076078	  0.484156	  0.000000	  0.120144	  0.460530	  0.000000	
